REF_DATE,GEO,DGUID,Type of employees,Overtime,North American Industry Classification System (NAICS),UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2008-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,813.11,,,,2
2008-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,817.91,,,,2
2008-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,818.7,,,,2
2008-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,814.55,,,,2
2009-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,815.06,A,,,2
2009-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,824.67,A,,,2
2009-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,824.38,A,,,2
2009-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,817.66,A,,,2
2009-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,815.72,A,,,2
2009-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,822.92,A,,,2
2009-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,818.47,A,,,2
2009-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,816.25,A,,,2
2009-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,826.11,A,,,2
2009-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,825.49,A,,,2
2009-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,828.5,A,,,2
2009-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,834.43,A,,,2
2010-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,833.43,A,,,2
2010-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,848.06,A,,,2
2010-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,846.06,A,,,2
2010-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,845.42,A,,,2
2010-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,844.67,A,,,2
2010-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,851.79,A,,,2
2010-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,849.51,A,,,2
2010-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,853.15,A,,,2
2010-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,862.71,A,,,2
2010-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,860.35,A,,,2
2010-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,864.34,A,,,2
2010-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,868.36,A,,,2
2011-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,871.48,A,,,2
2011-02-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,877.68,A,,,2
2011-03-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,873.89,A,,,2
2011-04-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,869.68,A,,,2
2011-05-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,869.38,A,,,2
2011-06-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,871.55,A,,,2
2011-07-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,865.16,A,,,2
2011-08-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,867.92,A,,,2
2011-09-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,869.95,A,,,2
2011-10-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,882.22,A,,,2
2011-11-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,880.62,A,,,2
2011-12-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,884.13,A,,,2
2012-01-01,Canada,2021A000011124,All employees,Including overtime,Industrial aggregate excluding unclassified businesses [11-91N],Current dollars,75,units,0,v1558664,1.1.1.2,883.63,A,,,2
